project_id,project_length_days,team_size,budget,complexity_score,resources_score,on_time_delivery,risk_score,client_satisfaction_score,client_satisfaction_label
P0001,132,7,290057.49,9,1,1,5,49.65,Low
P0002,300,14,452251.66,6,5,1,8,58.74,Medium
P0003,136,19,404868.75,6,6,1,8,86.14,High
P0004,101,15,118253.7,5,4,0,5,60.13,Medium
P0005,218,5,190274.93,5,2,1,9,34.59,Low
P0006,50,11,161820.11,2,4,1,1,100.0,High
P0007,132,19,384775.83,8,1,1,4,86.25,High
P0008,151,19,65089.6,8,7,0,3,51.63,Medium
P0009,244,22,306450.36,1,2,1,2,89.04,High
P0010,360,18,393106.41,8,2,1,8,22.44,Low
P0011,117,24,444544.54,5,9,1,7,100.0,High
P0012,129,15,203936.79,2,5,1,9,86.55,High
P0013,181,21,419565.79,2,2,1,2,100.0,High
P0014,160,19,99784.28,6,9,1,4,76.98,High
P0015,179,6,430903.53,9,9,1,6,83.06,High
P0016,338,14,107369.9,1,1,1,3,53.74,Medium
P0017,287,11,228779.28,6,3,0,8,14.15,Low
P0018,323,21,408782.91,9,4,0,3,45.07,Low
P0019,221,14,117462.84,8,7,1,2,58.97,Medium
P0020,306,11,153163.13,6,10,1,3,60.92,Medium
P0021,190,9,375013.66,3,4,1,6,87.78,High
P0022,343,16,374016.44,8,2,1,2,47.66,Low
P0023,51,22,338516.43,9,7,1,8,96.26,High
P0024,282,21,362276.8,1,6,1,1,100.0,High
P0025,265,17,294226.0,9,3,1,7,38.01,Low
P0026,78,18,163309.58,6,6,0,2,99.04,High
P0027,88,23,205563.2,6,6,1,10,85.23,High
P0028,199,7,131718.97,4,5,1,6,48.56,Low
P0029,217,5,458802.75,1,4,1,2,100.0,High
P0030,300,14,312526.31,10,10,1,2,53.23,Medium
P0031,219,22,230383.14,8,1,1,10,15.46,Low
P0032,204,23,257902.61,2,10,1,8,99.81,High
P0033,80,6,476277.5,1,6,1,2,100.0,High
P0034,84,23,119008.13,2,2,1,7,90.7,High
P0035,273,18,313803.42,1,3,1,3,93.81,High
P0036,349,9,277649.91,1,8,1,8,67.5,Medium
P0037,160,15,325154.41,9,10,0,7,68.29,Medium
P0038,336,23,58149.58,1,6,0,8,50.33,Medium
P0039,164,12,442455.76,4,3,0,7,82.38,High
P0040,50,9,469453.23,10,7,1,6,100.0,High
P0041,358,16,304309.93,6,4,1,7,22.37,Low
P0042,196,7,363492.87,7,9,0,5,80.8,High
P0043,303,5,465124.72,2,5,1,7,75.51,High
P0044,118,13,368257.39,6,3,1,1,97.58,High
P0045,345,13,118642.57,7,2,1,1,31.07,Low
P0046,43,20,309329.76,10,2,1,9,64.82,Medium
P0047,271,17,323021.77,10,3,0,5,31.9,Low
P0048,294,14,240858.8,2,2,1,5,66.14,Medium
P0049,82,11,381399.91,2,4,1,3,100.0,High
P0050,121,12,470465.16,10,2,1,5,82.32,High
P0051,293,14,466505.83,7,10,1,3,90.88,High
P0052,64,19,252877.72,1,9,0,9,100.0,High
P0053,235,8,100957.12,8,2,1,9,7.67,Low
P0054,110,9,493178.54,3,9,1,6,100.0,High
P0055,79,16,427504.14,6,6,0,1,100.0,High
P0056,31,15,106098.21,9,1,1,7,55.42,Medium
P0057,83,10,464378.85,6,4,1,7,97.52,High
P0058,135,12,441453.36,9,1,1,10,51.06,Medium
P0059,289,11,283477.13,7,6,1,10,25.11,Low
P0060,339,20,316073.95,9,4,1,4,36.63,Low
P0061,220,4,229551.22,2,3,1,8,62.14,Medium
P0062,247,7,74642.74,8,3,1,6,17.28,Low
P0063,73,7,200838.76,8,9,1,4,96.43,High
P0064,191,8,411284.05,2,6,0,4,99.6,High
P0065,231,21,52084.41,4,9,1,2,75.55,High
P0066,299,10,200074.63,7,5,1,2,52.19,Medium
P0067,333,18,229175.91,4,2,1,4,45.55,Low
P0068,300,15,291828.02,4,8,1,5,72.52,High
P0069,244,3,463935.03,6,5,1,8,68.88,Medium
P0070,281,24,205855.7,10,2,0,6,7.38,Low
P0071,219,22,206128.94,6,4,0,4,59.04,Medium
P0072,325,19,381875.56,10,9,1,7,45.28,Low
P0073,242,9,253498.07,3,4,0,8,51.75,Medium
P0074,237,15,151072.17,9,4,1,2,51.48,Medium
P0075,266,6,253597.78,10,2,1,7,15.68,Low
P0076,82,6,113385.66,2,6,1,2,100.0,High
P0077,309,8,129374.14,6,2,0,2,27.1,Low
P0078,246,21,274265.5,7,7,1,8,63.6,Medium
P0079,281,14,238516.45,9,3,1,2,43.32,Low
P0080,217,24,461680.66,3,3,1,9,86.23,High
P0081,70,9,213077.25,10,5,1,1,86.55,High
P0082,186,12,311264.76,3,3,1,9,70.52,High
P0083,44,21,334518.93,7,2,0,1,99.66,High
P0084,330,9,55892.51,4,10,0,10,17.09,Low
